standard_name,units,long_name,out_name
cloud_ice_mixing_ratio,1,Cloud Ice Mixing Ratio,cldicemxrat
cloud_liquid_water_mixing_ratio,1,Cloud Water Mixing Ratio,cldwatmxrat
mass_fraction_of_liquid_precipitation_in_air,1,Mass Fraction of Rain in Air,rainmxrat
mass_fraction_of_snow_in_air,1,Mass Fraction of Snow in Air,snowmxrat
mass_fraction_of_graupel_in_air,1,Graupel Mixing Ratio,grplmxrat
surface_temperature,K,Surface Temperature,ts
soil_temperature,K,Temperature of Soil,tsl
mass_content_of_water_in_soil_layer,kg m-2,Total Water Content of Soil Layer,mrsol
surface_snow_amount,kg m-2,Surface Snow Amount,snw
atmosphere_optical_thickness_due_to_stratiform_cloud,1,Stratiform Cloud Optical Depth,dtaus
atmosphere_optical_thickness_due_to_convective_cloud,1,Convective Cloud Optical Depth,dtauc
surface_downwelling_shortwave_flux_in_air_due_to_volcanic_ambient_aerosol_particles,W m-2,Shortwave Heating Rate Due to Volcanic Aerosols,swsffluxaero
surface_downwelling_longwave_flux_in_air_due_to_volcanic_ambient_aerosol_particles,W m-2,Longwave Flux Due to Volcanic Aerosols at the Surface,lwsffluxaero
toa_outgoing_shortwave_flux_due_to_volcanic_ambient_aerosol_particles_assuming_clear_sky,W m-2,TOA Outgoing Clear-Sky Shortwave Flux Due to Volcanic Aerosols,swtoafluxaerocs
toa_outgoing_longwave_flux_due_to_volcanic_ambient_aerosol_particles_assuming_clear_sky,W m-2,TOA Outgoing Clear-Sky Longwave Flux Due to Volcanic Aerosols,lwtoafluxaerocs
atmosphere_optical_thickness_due_to_cloud,1,Cloud Optical Depth,cod
atmosphere_boundary_layer_thickness,m,Maximum PBL Height,maxpblz
atmosphere_boundary_layer_thickness,m,Minimum PBL Height,minpblz
atmosphere_optical_thickness_due_to_ambient_aerosol_particles,1,Ambient Aerosol Optical Thickness at 550nm,od550aer
mole_fraction_of_ozone_in_air,mol mol-1,Daily Maximum O3 Volume Mixing Ratio in Lowest Model Layer,sfo3max
equivalent_thickness_at_stp_of_atmosphere_ozone_content,m,Total Column Ozone,toz
eastward_wind,m s-1,Eastward Wind at 10hPa,ua10
geopotential_height,m,Geopotential Height at 10hPa,zg10
geopotential_height,m,Geopotential Height at 100hPa,zg100
mole_fraction_of_nitrogen_dioxide_in_air,mol mol-1,NO2 Volume Mixing Ratio in Lowest Model Layer,sfno2
mole_fraction_of_ozone_in_air,mol mol-1,O3 Volume Mixing Ratio in Lowest Model Layer,sfo3
mass_fraction_of_pm2p5_ambient_aerosol_particles_in_air,kg kg-1,PM2.5 Mass Mixing Ratio in Lowest Model Layer,sfpm25
atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,1,Ambient Aerosol Absorption Optical Thickness at 550nm,abs550aer
atmosphere_mass_of_air_per_unit_area,kg m-2,Vertically Integrated Mass Content of Air in Layer,airmass
tracer_lifetime,yr,Northern Hemisphere Tracer Lifetime,aoanh
mole_fraction_of_ethyne_in_air,mol mol-1,C2H2 Volume Mixing Ratio,c2h2
mole_fraction_of_ethane_in_air,mol mol-1,C2H6 Volume Mixing Ratio,c2h6
mole_fraction_of_propene_in_air,mol mol-1,C3H6 Volume Mixing Ratio,c3h6
mole_fraction_of_propane_in_air,mol mol-1,C3H8 Volume Mixing Ratio,c3h8
number_concentration_of_cloud_condensation_nuclei_at_stp_in_air,m-3,Cloud Condensation Nuclei Concentration at Liquid Cloud Top,ccn
number_concentration_of_cloud_liquid_water_particles_in_air,m-3,Cloud Liquid Droplet Number Concentration,cdnc
mole_fraction_of_acetone_in_air,mol mol-1,CH3COCH3 Volume Mixing Ratio,ch3coch3
mole_fraction_of_methane_in_air,mol mol-1,Mole Fraction of CH4,ch4
tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_aqueous_phase_net_chemical_production,kg m-2 s-1,Aqueous-Phase Production Rate of SO4,cheaqpso4
tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_gaseous_phase_net_chemical_production,kg m-2 s-1,Gas-Phase Production Rate of SO4,chegpso4
tendency_of_atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol_particles_due_to_net_chemical_production,kg m-2 s-1,Total Net Production of Anthropogenic Secondary Organic Aerosol,chepasoa
tendency_of_atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol_particles_due_to_net_chemical_production,kg m-2 s-1,Chemical Production of Dry Aerosol Secondary Organic Matter,chepsoa
convective_cloud_area_fraction,%,Convective Cloud Cover Percentage,cltc
mole_fraction_of_carbon_monoxide_in_air,mol mol-1,CO Volume Mixing Ratio,co
mole_fraction_of_carbon_dioxide_in_air,mol mol-1,Mole Fraction of CO2,co2
mole_fraction_of_dimethyl_sulfide_in_air,mol mol-1,Dimethyl Sulphide (DMS) Mole Fraction,dms
minus_tendency_of_atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles_due_to_dry_deposition,kg m-2 s-1,Dry Deposition Rate of Black Carbon Aerosol Mass,drybc
minus_tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_dry_deposition,kg m-2 s-1,Dry Deposition Rate of Dust,drydust
minus_tendency_of_atmosphere_mass_content_of_ammonia_due_to_dry_deposition,kg m-2 s-1,Dry Deposition Rate of NH3,drynh3
minus_tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_particles_due_to_dry_deposition,kg m-2 s-1,Dry Deposition Rate of NH4,drynh4
minus_tendency_of_atmosphere_mass_content_of_noy_expressed_as_nitrogen_due_to_dry_deposition,kg m-2 s-1,Dry Deposition Rate of NOy,drynoy
minus_tendency_of_atmosphere_mass_content_of_ozone_due_to_dry_deposition,kg m-2 s-1,Dry Deposition Rate of O3,dryo3
minus_tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_dry_deposition,kg m-2 s-1,Dry Deposition Rate of Dry Aerosol Total Organic Matter,dryoa
minus_tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_dry_deposition,kg m-2 s-1,Dry Deposition Rate of SO2,dryso2
minus_tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_dry_deposition,kg m-2 s-1,Dry Deposition Rate of SO4,dryso4
minus_tendency_of_atmosphere_mass_content_of_sea_salt_dry_aerosol_particles_due_to_dry_deposition,kg m-2 s-1,Dry Deposition Rate of Sea-Salt Aerosol,dryss
tendency_of_atmosphere_mass_content_of_carbon_monoxide_due_to_emission,kg m-2 s-1,Total Emission Rate of Anthropogenic CO,emiaco
tendency_of_atmosphere_mass_content_of_nox_expressed_as_nitrogen_due_to_emission,kg m-2 s-1,Total Emission Rate of Anthropogenic NOx,emianox
tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_net_chemical_production_and_emission,kg m-2 s-1,Total Emission Rate of Anthropogenic Organic Aerosol,emiaoa
tendency_of_atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles_due_to_emission,kg m-2 s-1,Total Emission Rate of Black Carbon Aerosol Mass,emibc
tendency_of_atmosphere_mass_content_of_biogenic_nmvoc_expressed_as_carbon_due_to_emission,kg m-2 s-1,Total Emission Rate of Biogenic NMVOC,emibvoc
tendency_of_atmosphere_mass_content_of_carbon_monoxide_due_to_emission,kg m-2 s-1,Total Emission Rate of CO,emico
